dt,future_dt,humidity,pop,pressure,temp_max,temp_min,uvi,weather_id,wind_speed,wind_gust,rain,snow
2026-03-26 13:37:53,2026-03-27 12:00:00,67,0.7,1019,11.57,2.87,2.38,500,7.31,13.46,0.63,0
2026-03-26 13:37:53,2026-03-28 12:00:00,64,1,1029,8.28,1.82,2.47,616,7.57,14.57,1.24,0.82
2026-03-26 13:37:53,2026-03-29 13:00:00,85,1,1025,10.17,2.39,1.07,500,8.75,18.25,1.13,0
2026-03-26 13:37:53,2026-03-30 13:00:00,84,0,1028,11.87,4.74,0.86,804,5.86,13.85,0,0
2026-03-26 13:37:53,2026-03-31 13:00:00,63,0,1030,14.92,9.9,1,802,6.74,14.16,0,0
2026-03-26 13:37:53,2026-04-01 13:00:00,69,1,1023,12.87,6,1,500,5.56,10.53,0.75,0
2026-03-26 13:37:53,2026-04-02 13:00:00,61,1,1027,8.01,3.95,1,500,11.41,17.76,1.56,0
2026-03-26 14:37:53,2026-03-26 12:00:00,71,0.79,1022,9.95,3.04,2.98,500,5.49,13.37,0.4,0
2026-03-26 14:37:53,2026-03-27 12:00:00,67,0.7,1019,11.57,2.87,2.38,500,7.31,13.46,0.63,0
2026-03-26 14:37:53,2026-03-28 12:00:00,64,1,1029,8.28,1.82,2.47,616,7.57,14.57,1.24,0.82
2026-03-26 14:37:53,2026-03-29 13:00:00,85,1,1025,10.17,2.39,1.07,500,8.75,18.25,1.13,0
2026-03-26 14:37:53,2026-03-30 13:00:00,84,0,1028,11.87,4.74,0.86,804,5.86,13.85,0,0
2026-03-26 14:37:53,2026-03-31 13:00:00,63,0,1030,14.92,9.9,1,802,6.74,14.16,0,0
2026-03-26 14:37:53,2026-04-01 13:00:00,69,1,1023,12.87,6,1,500,5.56,10.53,0.75,0
2026-03-26 14:37:53,2026-04-02 13:00:00,61,1,1027,8.01,3.95,1,500,11.41,17.76,1.56,0
2026-03-26 15:37:53,2026-03-26 12:00:00,71,0.79,1023,9.95,3.04,2.98,500,5.49,13.37,0.31,0
2026-03-26 15:37:53,2026-03-27 12:00:00,67,0.7,1019,11.57,2.87,2.38,500,7.31,13.46,0.63,0
2026-03-26 15:37:53,2026-03-28 12:00:00,64,1,1029,8.28,1.82,2.47,616,7.57,14.57,1.24,0.82
2026-03-26 15:37:53,2026-03-29 13:00:00,85,1,1025,10.17,2.39,1.07,500,8.75,18.25,1.13,0
2026-03-26 15:37:53,2026-03-30 13:00:00,84,0,1028,11.87,4.74,0.86,804,5.86,13.85,0,0
2026-03-26 15:37:53,2026-03-31 13:00:00,63,0,1030,14.92,9.9,1,802,6.74,14.16,0,0
2026-03-26 15:37:53,2026-04-01 13:00:00,69,1,1023,12.87,6,1,500,5.56,10.53,0.75,0
2026-03-26 15:37:53,2026-04-02 13:00:00,61,1,1027,8.01,3.95,1,500,11.41,17.76,1.56,0
2026-03-26 16:37:53,2026-03-26 12:00:00,69,0.79,1023,9.95,3.04,2.98,500,5.49,13.37,0.42,0
2026-03-26 16:37:53,2026-03-27 12:00:00,67,0.7,1019,11.57,2.87,2.38,500,7.31,13.46,0.63,0
2026-03-26 16:37:53,2026-03-28 12:00:00,64,1,1029,8.28,1.82,2.47,616,7.57,14.57,1.24,0.82
2026-03-26 16:37:53,2026-03-29 13:00:00,85,1,1025,10.17,2.39,1.07,500,8.75,18.25,0.91,0
2026-03-26 16:37:53,2026-03-30 13:00:00,84,0,1028,11.87,4.74,0.86,804,5.86,13.85,0,0
2026-03-26 16:37:53,2026-03-31 13:00:00,63,0,1030,14.92,9.9,1,802,6.74,14.16,0,0
2026-03-26 16:37:53,2026-04-01 13:00:00,69,1,1023,12.87,6,1,500,5.56,10.53,0.75,0
2026-03-26 16:37:53,2026-04-02 13:00:00,61,1,1027,8.01,3.95,1,500,11.41,17.76,1.56,0
2026-03-26 17:37:53,2026-03-26 12:00:00,69,0.79,1023,10.01,3.04,2.98,500,5.49,13.37,0.26,0
2026-03-26 17:37:53,2026-03-27 12:00:00,67,0.7,1019,11.57,2.87,2.38,500,7.31,13.46,0.63,0
2026-03-26 17:37:53,2026-03-28 12:00:00,64,1,1029,8.28,1.82,2.47,616,7.57,14.57,1.24,0.82
2026-03-26 17:37:53,2026-03-29 13:00:00,85,1,1025,10.17,2.39,1.07,500,8.75,18.25,0.91,0
2026-03-26 17:37:53,2026-03-30 13:00:00,84,0,1028,11.87,4.74,0.86,804,5.86,13.85,0,0
2026-03-26 17:37:53,2026-03-31 13:00:00,63,0,1030,14.92,9.9,1,802,6.74,14.16,0,0
2026-03-26 17:37:53,2026-04-01 13:00:00,69,1,1023,12.87,6,1,500,5.56,10.53,0.75,0
2026-03-26 17:37:53,2026-04-02 13:00:00,61,1,1027,8.01,3.95,1,500,11.41,17.76,1.56,0
2026-03-26 18:37:53,2026-03-26 12:00:00,69,0.79,1023,9.98,3.04,2.98,500,5.49,13.37,0.26,0
2026-03-26 18:37:53,2026-03-27 12:00:00,67,0.7,1019,11.57,2.87,2.85,500,7.31,13.46,0.63,0
2026-03-26 18:37:53,2026-03-28 12:00:00,64,1,1029,8.28,1.82,2.55,616,7.57,14.57,1.24,0.82
2026-03-26 18:37:53,2026-03-29 13:00:00,85,1,1025,10.17,2.39,1.53,500,8.75,18.25,0.91,0
2026-03-26 18:37:53,2026-03-30 13:00:00,84,0,1028,11.87,4.74,3.16,804,5.86,13.85,0,0
2026-03-26 18:37:53,2026-03-31 13:00:00,63,0,1030,14.92,9.9,3.59,802,6.74,14.16,0,0
2026-03-26 18:37:53,2026-04-01 13:00:00,69,1,1023,12.87,6,4,500,5.56,10.53,0.75,0
2026-03-26 18:37:53,2026-04-02 13:00:00,61,1,1027,8.01,3.95,4,500,11.41,17.76,1.56,0
2026-03-26 19:37:53,2026-03-26 12:00:00,69,0.3,1023,9.93,3.04,2.98,500,6,13.71,0.26,0
2026-03-26 19:37:53,2026-03-27 12:00:00,68,1,1019,11.62,2.75,2.85,500,6.66,13.78,0.73,0
2026-03-26 19:37:53,2026-03-28 12:00:00,67,1,1029,7.31,1.46,2.55,616,7.04,13.77,1.92,0.57
2026-03-26 19:37:53,2026-03-29 13:00:00,84,1,1025,9.87,1.98,1.53,500,9.04,18.09,1.23,0
2026-03-26 19:37:53,2026-03-30 13:00:00,74,0.2,1029,11.36,5.49,3.16,500,6.31,14.5,0.22,0
2026-03-26 19:37:53,2026-03-31 13:00:00,65,0.2,1031,15.32,9.1,3.59,500,6.34,13.8,0.12,0
2026-03-26 19:37:53,2026-04-01 13:00:00,67,1,1024,12.84,3.98,4,500,8.66,14.84,2.07,0
2026-03-26 19:37:53,2026-04-02 13:00:00,54,0.07,1034,7.07,2.82,4,800,7.18,11.61,0,0
2026-03-26 20:37:53,2026-03-26 12:00:00,69,0.3,1023,9.92,3.04,2.98,500,6,13.71,0.26,0
2026-03-26 20:37:53,2026-03-27 12:00:00,68,1,1019,11.62,2.75,2.85,500,6.66,13.78,0.73,0
2026-03-26 20:37:53,2026-03-28 12:00:00,67,1,1029,7.31,1.46,2.55,616,7.04,13.77,1.92,0.57
2026-03-26 20:37:53,2026-03-29 13:00:00,84,1,1025,9.87,1.98,1.53,500,9.04,18.09,1.23,0
2026-03-26 20:37:53,2026-03-30 13:00:00,74,0.2,1029,11.36,5.49,3.16,500,6.31,14.5,0.22,0
